Date,City,Actual_SPI_3,Predicted_SPI_3,Residual,Absolute_Error,Actual_Drought,Predicted_Drought,Actual_Status,Predicted_Status,Actual_SPI_Category,Predicted_SPI_Category,Predicted_Drought_LSTM,Actual_Condition,LSTM_Condition
2020-10-01,Taif,1.3533747,1.2724237,0.080950975,0.080950975,0,0,No Drought,No Drought,Moderately Wet,Moderately Wet,0,No drought,No drought
2020-11-01,Taif,1.279859,1.2736852,0.00617373,0.00617373,0,0,No Drought,No Drought,Moderately Wet,Moderately Wet,0,No drought,No drought
2020-12-01,Taif,0.5923895,1.2047889,-0.6123994,0.6123994,0,0,No Drought,No Drought,Near Normal,Moderately Wet,0,No drought,No drought
2021-01-01,Taif,1.254983,0.36809576,0.8868872,0.8868872,0,0,No Drought,No Drought,Moderately Wet,Near Normal,0,No drought,No drought
2021-02-01,Taif,1.9229084,1.5252346,0.39767385,0.39767385,0,0,No Drought,No Drought,Very Wet,Very Wet,0,No drought,No drought
2021-03-01,Taif,2.2143626,1.8660656,0.348297,0.348297,0,0,No Drought,No Drought,Extremely Wet,Very Wet,0,No drought,No drought
2021-04-01,Taif,2.0502021,0.79087,1.2593322,1.2593322,0,0,No Drought,No Drought,Extremely Wet,Near Normal,0,No drought,No drought
2021-05-01,Taif,1.5482962,1.9197439,-0.37144768,0.37144768,0,0,No Drought,No Drought,Very Wet,Very Wet,0,No drought,No drought
2021-06-01,Taif,1.6058106,1.6892859,-0.08347523,0.08347523,0,0,No Drought,No Drought,Very Wet,Very Wet,0,No drought,No drought
2021-07-01,Taif,0.54335004,0.42586845,0.11748159,0.11748159,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2021-08-01,Taif,0.25420952,-0.31109807,0.5653076,0.5653076,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2021-09-01,Taif,0.6916558,-0.1630056,0.8546614,0.8546614,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2021-10-01,Taif,0.4377975,0.39189258,0.045904905,0.045904905,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2021-11-01,Taif,0.20517695,-0.015769599,0.22094655,0.22094655,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2021-12-01,Taif,-0.14853385,-0.027984513,-0.120549336,0.120549336,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2022-01-01,Taif,0.33516324,0.044068366,0.29109487,0.29109487,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2022-02-01,Taif,0.6990437,0.72738236,-0.02833867,0.02833867,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2022-03-01,Taif,0.7405264,0.5161435,0.22438288,0.22438288,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2022-04-01,Taif,0.7233218,-0.10117699,0.8244988,0.8244988,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2022-05-01,Taif,0.44405723,0.92361134,-0.47955412,0.47955412,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2022-06-01,Taif,0.48903137,0.6087269,-0.119695544,0.119695544,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2022-07-01,Taif,-0.45351264,-0.06585405,-0.3876586,0.3876586,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2022-08-01,Taif,0.8658183,-0.35107097,1.2168893,1.2168893,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2022-09-01,Taif,0.9098465,0.7235985,0.186248,0.186248,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2022-10-01,Taif,0.9308936,0.4645304,0.4663632,0.4663632,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2022-11-01,Taif,1.5841326,0.40818045,1.1759521,1.1759521,0,0,No Drought,No Drought,Very Wet,Near Normal,0,No drought,No drought
2022-12-01,Taif,2.4419408,1.7414727,0.70046806,0.70046806,0,0,No Drought,No Drought,Extremely Wet,Very Wet,0,No drought,No drought
2023-01-01,Taif,2.6901803,2.446236,0.2439444,0.2439444,0,0,No Drought,No Drought,Extremely Wet,Extremely Wet,0,No drought,No drought
2023-02-01,Taif,2.4058158,1.9189366,0.48687923,0.48687923,0,0,No Drought,No Drought,Extremely Wet,Very Wet,0,No drought,No drought
2023-03-01,Taif,1.3607011,0.28913075,1.0715704,1.0715704,0,0,No Drought,No Drought,Moderately Wet,Near Normal,0,No drought,No drought
2023-04-01,Taif,2.091605,0.86150986,1.2300951,1.2300951,0,0,No Drought,No Drought,Extremely Wet,Near Normal,0,No drought,No drought
2023-05-01,Taif,2.211569,2.2099574,0.0016117096,0.0016117096,0,0,No Drought,No Drought,Extremely Wet,Extremely Wet,0,No drought,No drought
2023-06-01,Taif,2.1708348,2.2581866,-0.0873518,0.0873518,0,0,No Drought,No Drought,Extremely Wet,Extremely Wet,0,No drought,No drought
2023-07-01,Taif,1.4581852,1.6139479,-0.15576267,0.15576267,0,0,No Drought,No Drought,Moderately Wet,Very Wet,0,No drought,No drought
2023-08-01,Taif,1.0784655,0.3785995,0.69986594,0.69986594,0,0,No Drought,No Drought,Moderately Wet,Near Normal,0,No drought,No drought
